,workerid,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment
2752,81,159,4.0,John prepared a grand feast of pie from the farm for the homeless man on the street.,John prepared the homeless man on the street a grand feast of pie from the farm.,0.0,1.0,28
2756,28,75,1.0,Melissa baked in her kitchen a present with red ribbon.,Melissa baked a present with red ribbon in her kitchen.,0.0,1.0,5
2757,28,451,7.0,John worked out the secret ambitious foolproof plan for the next season.,John worked the secret ambitious foolproof plan for the next season out.,0.0,1.0,6
2758,28,228,7.0,John sent a written letter with bank information for the financial account to his extended family from the farms in the plains in Kansas.,John sent his extended family from the farms in the plains in Kansas a written letter with bank information for the financial account.,0.0,1.0,7
2759,28,372,5.0,Janet met at the cafe with her good friend Emily and her friends.,Janet met with her good friend Emily and her friends at the cafe.,0.0,1.0,8
2761,28,99,2.0,Melissa presented to the team a large check from the hosts from the organization.,Melissa presented a large check from the hosts from the organization to the team.,1.0,0.0,10
2762,28,250,7.0,Janet drove with a large rented van with space for her supplies to the annual charity event in the convention center.,Janet drove to the annual charity event in the convention center with a large rented van with space for her supplies.,1.0,0.0,11
2763,28,331,5.0,Janet argued about the failing project in the data during the dedicated internal complaints meeting.,Janet argued during the dedicated internal complaints meeting about the failing project in the data.,1.0,0.0,12
2764,28,467,7.0,John looks up the new popular Italian restaurant with the famous pasta with tomatoes.,John looks the new popular Italian restaurant with the famous pasta with tomatoes up.,1.0,0.0,13
2766,28,93,1.0,Melissa brought when she arrived cold sweet drinks from the bodega in her bag.,Melissa brought cold sweet drinks from the bodega in her bag when she arrived.,0.0,1.0,15
2767,28,174,6.0,John gave a red car with drivers assistance for safe commuting to his trusted friend with the medical degree from Michigan.,John gave his trusted friend with the medical degree from Michigan a red car with drivers assistance for safe commuting.,0.0,1.0,16
2768,28,412,6.0,John takes apart the television remote from Craiglist.,John takes the television remote from Craiglist apart.,0.0,1.0,17
2769,28,159,6.0,John prepared a grand feast of pie from the farm for the homeless man on the street.,John prepared the homeless man on the street a grand feast of pie from the farm.,0.0,1.0,18
2771,28,413,6.0,John turned in his broken speed gun with radar.,John turned his broken speed gun with radar in.,1.0,0.0,20
2772,28,195,5.0,John made a hearty feast with chicken from the farm for his mother at the care home in Miami.,John made his mother at the care home in Miami a hearty feast with chicken from the farm.,1.0,0.0,21
2773,28,46,1.0,Melissa taught during the day courses for her graduate program on astronomy under the famous professor.,Melissa taught courses for her graduate program on astronomy under the famous professor during the day.,1.0,0.0,22
2774,28,88,1.0,Melissa prepared for the party a multilevel vanilla sponge cake with pink bows.,Melissa prepared a multilevel vanilla sponge cake with pink bows for the party.,1.0,0.0,23
2776,28,134,3.0,John showed the Baroque church building with the dome from Italy to the group with maps.,John showed the group with maps the Baroque church building with the dome from Italy.,0.0,1.0,25
2777,28,461,4.0,John looks up the popular Italian restaurant with the famous pasta.,John looks the popular Italian restaurant with the famous pasta up.,0.0,1.0,26
2778,28,197,4.0,John sent a red car with drivers assistance to his good trusted friend from Michigan.,John sent his good trusted friend from Michigan a red car with drivers assistance.,0.0,1.0,27
2779,28,450,5.0,John looks up the new restaurant.,John looks the new restaurant up.,0.0,1.0,28
2783,110,46,3.0,Melissa taught during the day courses for her graduate program on astronomy under the famous professor.,Melissa taught courses for her graduate program on astronomy under the famous professor during the day.,0.0,1.0,5
2784,110,93,3.0,Melissa brought when she arrived cold sweet drinks from the bodega in her bag.,Melissa brought cold sweet drinks from the bodega in her bag when she arrived.,0.0,1.0,6
2785,110,412,6.0,John takes apart the television remote from Craiglist.,John takes the television remote from Craiglist apart.,0.0,1.0,7
2786,110,228,6.0,John sent a written letter with bank information for the financial account to his extended family from the farms in the plains in Kansas.,John sent his extended family from the farms in the plains in Kansas a written letter with bank information for the financial account.,0.0,1.0,8
2788,110,88,3.0,Melissa prepared for the party a multilevel vanilla sponge cake with pink bows.,Melissa prepared a multilevel vanilla sponge cake with pink bows for the party.,1.0,0.0,10
2789,110,75,4.0,Melissa baked in her kitchen a present with red ribbon.,Melissa baked a present with red ribbon in her kitchen.,1.0,0.0,11
2790,110,461,6.0,John looks up the popular Italian restaurant with the famous pasta.,John looks the popular Italian restaurant with the famous pasta up.,1.0,0.0,12
2791,110,331,2.0,Janet argued about the failing project in the data during the dedicated internal complaints meeting.,Janet argued during the dedicated internal complaints meeting about the failing project in the data.,1.0,0.0,13
2793,110,450,7.0,John looks up the new restaurant.,John looks the new restaurant up.,0.0,1.0,15
2794,110,134,7.0,John showed the Baroque church building with the dome from Italy to the group with maps.,John showed the group with maps the Baroque church building with the dome from Italy.,0.0,1.0,16
2795,110,413,6.0,John turned in his broken speed gun with radar.,John turned his broken speed gun with radar in.,0.0,1.0,17
2796,110,451,6.0,John worked out the secret ambitious foolproof plan for the next season.,John worked the secret ambitious foolproof plan for the next season out.,0.0,1.0,18
2798,110,250,2.0,Janet drove with a large rented van with space for her supplies to the annual charity event in the convention center.,Janet drove to the annual charity event in the convention center with a large rented van with space for her supplies.,1.0,0.0,20
2799,110,174,2.0,John gave a red car with drivers assistance for safe commuting to his trusted friend with the medical degree from Michigan.,John gave his trusted friend with the medical degree from Michigan a red car with drivers assistance for safe commuting.,1.0,0.0,21
2800,110,99,3.0,Melissa presented to the team a large check from the hosts from the organization.,Melissa presented a large check from the hosts from the organization to the team.,1.0,0.0,22
